Ensembl Gene ID	Ensembl Protein ID	Chromosome Name	Gene Start (bp)	Gene End (bp)	Associated Gene Name
YHR209W	YHR209W	VIII	519437	520312	CRG1
YPR008W	YPR008W	XVI	573018	575102	HAA1
YER075C	YER075C	V	308413	311199	PTP3
YDL203C	YDL203C	IV	96082	97953	ACK1
YBR050C	YBR050C	II	337183	338199	REG2
YMR197C	YMR197C	XIII	658545	659198	VTI1
YDR261W-A	YDR261W-A	IV	981462	982778	
YBL049W	YBL049W	II	126828	127244	MOH1
YER054C	YER054C	V	262052	263698	GIP2
YDR305C	YDR305C	IV	1072746	1073488	HNT2
YHL019W-A	YHL019W-A	VIII	67711	68304	
YNL201C	YNL201C	XIV	260627	263203	PSY2
YHR180W-A	YHR180W-A	VIII	466932	467114	
YCR061W	YCR061W	III	225563	227458	
YBR206W	YBR206W	II	634601	634924	
YPL171C	YPL171C	XVI	226169	227371	OYE3
YHR051W	YHR051W	VIII	209705	210151	COX6
YDL116W	YDL116W	IV	251566	253746	NUP84
YPR124W	YPR124W	XVI	786208	787428	CTR1
YJL023C	YJL023C	X	397355	398398	PET130
YGL167C	YGL167C	VII	187616	190468	PMR1
YDL165W	YDL165W	IV	164290	164865	CDC36
YLR154C-H	YLR154C-H	XII	468827	468958	
YPL119C-A	YPL119C-A	XVI	324024	324287	
YIL143C	YIL143C	IX	80510	83041	SSL2
YBR292C	YBR292C	II	784702	785073	
YGR240C	YGR240C	VII	970771	973734	PFK1
YOR094W	YOR094W	XV	502795	503346	ARF3
YDR167W	YDR167W	IV	789449	790069	TAF10
YBR063C	YBR063C	II	366970	368184	
YER052C	YER052C	V	256375	257958	HOM3
YGR178C	YGR178C	VII	851047	853215	PBP1
YPL118W	YPL118W	XVI	326628	327662	MRP51
YPR187W	YPR187W	XVI	911257	911800	RPO26
YJL065C	YJL065C	X	315054	315557	DLS1
YOL141W	YOL141W	XV	56452	58539	PPM2
YPR086W	YPR086W	XVI	710101	711138	SUA7
YBR122C	YBR122C	II	483970	484503	MRPL36
YBR271W	YBR271W	II	744852	746111	EFM2
YBR279W	YBR279W	II	761257	762594	PAF1
YHR095W	YHR095W	VIII	292943	293437	
YMR221C	YMR221C	XIII	713931	715445	
YDR241W	YDR241W	IV	945151	945438	BUD26
YJL221C	YJL221C	X	16767	18536	IMA4
YER130C	YER130C	V	421115	422446	COM2
YBR155W	YBR155W	II	549771	550928	CNS1
YDR363W	YDR363W	IV	1199183	1200553	ESC2
YGR266W	YGR266W	VII	1022656	1024761	
YLR443W	YLR443W	XII	1022625	1023971	ECM7
YPL147W	YPL147W	XVI	273255	275867	PXA1
YAL034C	YAL034C	I	80710	81951	FUN19
YBR067C	YBR067C	II	372103	372735	TIP1
YCR095C	YCR095C	III	288170	289258	OCA4
YLR270W	YLR270W	XII	681186	682238	DCS1
YPR084W	YPR084W	XVI	706972	708342	
YBR184W	YBR184W	II	597363	598934	
YMR113W	YMR113W	XIII	494999	496282	FOL3
YGR035C	YGR035C	VII	557072	557422	
YDL222C	YDL222C	IV	60872	61801	FMP45
YCL008C	YCL008C	III	105696	106853	STP22
YEL065W	YEL065W	V	27657	29543	SIT1
YNL335W	YNL335W	XIV	11452	12129	DDI3
YMR296C	YMR296C	XIII	859215	860891	LCB1
YDR232W	YDR232W	IV	927452	929098	HEM1
YGR190C	YGR190C	VII	880296	880661	
YHR116W	YHR116W	VIII	341665	342120	COX23
YDR313C	YDR313C	IV	1089219	1090079	PIB1
YFR018C	YFR018C	VI	183131	184222	
YKL007W	YKL007W	XI	429302	430108	CAP1
YIL048W	YIL048W	IX	261437	264892	NEO1
YDL213C	YDL213C	IV	77289	77966	NOP6
YDR443C	YDR443C	IV	1345676	1349938	SSN2
YNL292W	YNL292W	XIV	82806	84017	PUS4
YKL183C-A	YKL183C-A	XI	98395	98607	
YOR324C	YOR324C	XV	923232	925040	FRT1
YNL134C	YNL134C	XIV	372451	373581	
YKL100C	YKL100C	XI	253697	255460	
YOR192C-B	YOR192C-B	XV	704419	709732	
YPL021W	YPL021W	XVI	511101	511664	ECM23
YIL146C	YIL146C	IX	74184	75773	ATG32
YLR299C-A	YLR299C-A	XII	727911	728003	
YNL218W	YNL218W	XIV	238238	240001	MGS1
YIL121W	YIL121W	IX	132244	133872	QDR2
YNL228W	YNL228W	XIV	220645	221421	
YDL167C	YDL167C	IV	160995	163154	NRP1
YPL214C	YPL214C	XVI	148569	150191	THI6
YOR228C	YOR228C	XV	766869	767777	MCP1
YBR270C	YBR270C	II	742761	744398	BIT2
YGR222W	YGR222W	VII	939923	940804	PET54
YEL063C	YEL063C	V	31694	33466	CAN1
YAL068W-A	YAL068W-A	I	538	792	
YML020W	YML020W	XIII	231149	233143	
YGR121C	YGR121C	VII	731449	732927	MEP1
YBR222C	YBR222C	II	666720	668351	PCS60
YDL095W	YDL095W	IV	287059	289512	PMT1
YDL003W	YDL003W	IV	444683	446383	MCD1
YOR323C	YOR323C	XV	921535	922905	PRO2
YMR183C	YMR183C	XIII	626921	627808	SSO2
YOR274W	YOR274W	XV	837674	838960	MOD5
YER146W	YER146W	V	462585	462866	LSM5
YML075C	YML075C	XIII	115734	118898	HMG1
YOL035C	YOL035C	XV	258803	259105	
YPL063W	YPL063W	XVI	429939	431369	TIM50
YDR457W	YDR457W	IV	1369790	1379596	TOM1
YLR273C	YLR273C	XII	689083	691029	PIG1
YDR181C	YDR181C	IV	825910	827355	SAS4
YLR434C	YLR434C	XII	1006025	1006408	
YGL097W	YGL097W	VII	321782	323230	SRM1
YCL056C	YCL056C	III	26925	27359	PEX34
YJL083W	YJL083W	X	278841	280655	TAX4
YMR242W-A	YMR242W-A	XIII	754297	754386	
YOR026W	YOR026W	XV	379781	380806	BUB3
YPL140C	YPL140C	XVI	287514	289034	MKK2
YNR016C	YNR016C	XIV	654673	661374	ACC1
YER123W	YER123W	V	404813	406387	YCK3
YGR055W	YGR055W	VII	599417	601141	MUP1
YKR054C	YKR054C	XI	535647	547925	DYN1
YMR315W	YMR315W	XIII	902800	903849	
YAL024C	YAL024C	I	101565	105872	LTE1
YKL202W	YKL202W	XI	63821	64402	
YKL187C	YKL187C	XI	89284	91536	FAT3
YDR383C	YDR383C	IV	1239960	1240676	NKP1
YDR396W	YDR396W	IV	1266295	1266795	
YGR115C	YGR115C	VII	720372	721151	
YKL055C	YKL055C	XI	335321	336157	OAR1
YDR035W	YDR035W	IV	521816	522928	ARO3
YBL062W	YBL062W	II	105308	105688	
YHR160C	YHR160C	VIII	419221	420072	PEX18
YGR047C	YGR047C	VII	586392	589469	TFC4
YDR119W	YDR119W	IV	688227	690533	VBA4
YBR208C	YBR208C	II	636703	642210	DUR1,2
YER151C	YER151C	V	469686	472424	UBP3
YLR070C	YLR070C	XII	274141	275211	XYL2
YPR019W	YPR019W	XVI	596750	599551	MCM4
YPL228W	YPL228W	XVI	118382	120031	CET1
YPR190C	YPR190C	XVI	917077	919041	RPC82
YGR041W	YGR041W	VII	577487	579130	BUD9
YDR353W	YDR353W	IV	1183299	1184258	TRR1
YHR097C	YHR097C	VIII	297385	298609	
YPL047W	YPL047W	XVI	465962	466261	SGF11
YPL014W	YPL014W	XVI	527547	528692	
YGR007W	YGR007W	VII	506969	507940	ECT1
YML116W	YML116W	XIII	38196	39824	ATR1
YOL137W	YOL137W	XV	65621	67114	BSC6
YGL155W	YGL155W	VII	214081	215211	CDC43
YER061C	YER061C	V	278298	279626	CEM1
YKL214C	YKL214C	XI	31082	31693	YRA2
YPL119C	YPL119C	XVI	324411	326264	DBP1
YDL125C	YDL125C	IV	239019	239606	HNT1
YHR186C	YHR186C	VIII	475999	480672	KOG1
YKL011C	YKL011C	XI	420155	421216	CCE1
YLL019C	YLL019C	XII	105686	107899	KNS1
YNL257C	YNL257C	XIV	160631	164320	SIP3
YGL199C	YGL199C	VII	123572	124042	
YJR092W	YJR092W	X	598735	603078	BUD4
YDR010C	YDR010C	IV	465051	465383	
YBL059W	YBL059W	II	110594	111244	
YBR291C	YBR291C	II	783673	784572	CTP1
YPL189C-A	YPL189C-A	XVI	188307	188513	COA2
YDR262W	YDR262W	IV	993134	993952	
YFL012W	YFL012W	VI	110647	111093	
YLR078C	YLR078C	XII	285736	286559	BOS1
YDR072C	YDR072C	IV	589761	591344	IPT1
YDR179C	YDR179C	IV	818708	819196	CSN9
YKL153W	YKL153W	XI	163600	164109	
YOR108C-A	YOR108C-A	XV	524605	524814	
YGR220C	YGR220C	VII	936074	936883	MRPL9
YIL053W	YIL053W	IX	255115	255867	GPP1
YMR161W	YMR161W	XIII	577718	578392	HLJ1
YER011W	YER011W	V	175248	176012	TIR1
YDR258C	YDR258C	IV	971808	974243	HSP78
YDR467C	YDR467C	IV	1397583	1397909	
YGL162W	YGL162W	VII	198138	199037	SUT1
YNL243W	YNL243W	XIV	188051	190957	SLA2
YBR234C	YBR234C	II	685438	686592	ARC40
YNL047C	YNL047C	XIV	539911	541881	SLM2
YKL038W	YKL038W	XI	365605	369117	RGT1
YFL053W	YFL053W	VI	23423	25198	DAK2
YOR200W	YOR200W	XV	720417	720815	
YKR060W	YKR060W	XI	556518	557342	UTP30
YPR200C	YPR200C	XVI	939279	939671	ARR2
YLR411W	YLR411W	XII	947253	947978	CTR3
YLR318W	YLR318W	XII	766542	769196	EST2
YHR150W	YHR150W	VIII	397251	398990	PEX28
YGL219C	YGL219C	VII	82878	84257	MDM34
YFL009W	YFL009W	VI	116145	118484	CDC4
YBR045C	YBR045C	II	328173	330092	GIP1
YMR039C	YMR039C	XIII	348644	349522	SUB1
YKL195W	YKL195W	XI	75821	77032	MIA40
YPR127W	YPR127W	XVI	790083	791120	
YPL188W	YPL188W	XVI	191406	192650	POS5
YGL147C	YGL147C	VII	227754	228329	RPL9A
YDR217C	YDR217C	IV	899551	903480	RAD9
YML015C	YML015C	XIII	241989	243029	TAF11
YJR126C	YJR126C	X	656254	658689	VPS70
YPR026W	YPR026W	XVI	615379	619014	ATH1
YHR073W	YHR073W	VIII	242582	245572	OSH3
YMR274C	YMR274C	XIII	814364	815311	RCE1
YMR008C	YMR008C	XIII	280590	282584	PLB1
YHR125W	YHR125W	VIII	358858	359163	
YER119C-A	YER119C-A	V	400867	401238	
YDL227C	YDL227C	IV	46271	48031	HO
YOR197W	YOR197W	XV	717086	718384	MCA1
YDR034C-C	YDR034C-C	IV	518040	519356	
YNL081C	YNL081C	XIV	476188	476619	SWS2
YKL096W-A	YKL096W-A	XI	259253	259531	CWP2
YDR532C	YDR532C	IV	1499396	1500553	KRE28
YNL319W	YNL319W	XIV	38642	39082	
YDR049W	YDR049W	IV	553254	555152	VMS1
YBR113W	YBR113W	II	465566	466048	
YKL170W	YKL170W	XI	130634	131050	MRPL38
YJL043W	YJL043W	X	360130	360903	
YGL047W	YGL047W	VII	411552	412160	ALG13
YLR006C	YLR006C	XII	161755	163893	SSK1
YHR079C	YHR079C	VIII	258244	261591	IRE1
YPR171W	YPR171W	XVI	883828	885558	BSP1
YML063W	YML063W	XIII	146482	147249	RPS1B
YLR178C	YLR178C	XII	513162	513821	TFS1
YHL029C	YHL029C	VIII	45929	47968	OCA5
YJL090C	YJL090C	X	262757	265051	DPB11
YBR008C	YBR008C	II	252563	254209	FLR1
YDR372C	YDR372C	IV	1221112	1222149	VPS74
YOR184W	YOR184W	XV	679357	680544	SER1
YHR218W	YHR218W	VIII	558014	559924	
YMR203W	YMR203W	XIII	668492	669655	TOM40
YBL006W-A	YBL006W-A	II	216711	216860	
YIR008C	YIR008C	IX	373077	374306	PRI1
YBL024W	YBL024W	II	172534	174588	NCL1
YDR317W	YDR317W	IV	1102184	1103428	HIM1
YOL166C	YOL166C	XV	1000	1338	
YJL087C	YJL087C	X	270002	272485	TRL1
YJL038C	YJL038C	X	375115	375774	LOH1
YDR043C	YDR043C	IV	542674	543369	NRG1
YHR028C	YHR028C	VIII	164978	167434	DAP2
YOR340C	YOR340C	XV	959202	960182	RPA43
YCL044C	YCL044C	III	47111	48364	MGR1
YEL072W	YEL072W	V	13720	14415	RMD6
YFR022W	YFR022W	VI	196833	199034	ROG3
YIR010W	YIR010W	IX	375431	377161	DSN1
YBL008W	YBL008W	II	209653	212175	HIR1
YMR178W	YMR178W	XIII	618479	619303	
YOL008W	YOL008W	XV	310312	310935	COQ10
YHR017W	YHR017W	VIII	138694	139851	YSC83
YKR101W	YKR101W	XI	640540	642504	SIR1
YMR095C	YMR095C	XIII	457285	457959	SNO1
YHR198C	YHR198C	VIII	496315	497280	AIM18
YOR076C	YOR076C	XV	469377	471620	SKI7
YGL015C	YGL015C	VII	465043	465435	
YNL219C	YNL219C	XIV	235996	237663	ALG9
YLR210W	YLR210W	XII	562008	563390	CLB4
YIL034C	YIL034C	IX	289226	290089	CAP2
YLR148W	YLR148W	XII	434641	437397	PEP3
YOR342C	YOR342C	XV	966666	967625	
YOL070C	YOL070C	XV	197220	198725	NBA1
YDL160C	YDL160C	IV	170410	171930	DHH1
YIL043C	YIL043C	IX	274072	274926	CBR1
YLR124W	YLR124W	XII	391600	391944	
YGR231C	YGR231C	VII	952548	953480	PHB2
YPR202W	YPR202W	XVI	943032	943896	
YGR034W	YGR034W	VII	555812	556672	RPL26B
YMR266W	YMR266W	XIII	798518	801379	RSN1
YNL021W	YNL021W	XIV	593227	595347	HDA1
YPL107W	YPL107W	XVI	349119	349865	
YGR088W	YGR088W	VII	654634	656322	CTT1
YHR173C	YHR173C	VIII	450815	451153	
YCR063W	YCR063W	III	228318	228791	BUD31
YHR073W-A	YHR073W-A	VIII	242868	243044	
YDL048C	YDL048C	IV	366739	368211	STP4
YML092C	YML092C	XIII	85987	86739	PRE8
YPR097W	YPR097W	XVI	725394	728615	
YBR201C-A	YBR201C-A	II	624493	624696	
YNL056W	YNL056W	XIV	517249	517842	OCA2
YAL020C	YAL020C	I	113614	114615	ATS1
YDL025C	YDL025C	IV	405344	407206	RTK1
YDL243C	YDL243C	IV	17577	18566	AAD4
YFL017C	YFL017C	VI	103983	104462	GNA1
YGL197W	YGL197W	VII	124698	129161	MDS3
YLR256W-A	YLR256W-A	XII	651117	652439	
YHR092C	YHR092C	VIII	287081	288811	HXT4
YLL011W	YLL011W	XII	127523	128992	SOF1
YDR379C-A	YDR379C-A	IV	1233278	1233517	SDH6
YDR113C	YDR113C	IV	680496	681617	PDS1
YLR189C	YLR189C	XII	530797	534393	ATG26
YNR074C	YNR074C	XIV	777602	778738	AIF1
YOL159C	YOL159C	XV	17281	17796	
YDL247W	YDL247W	IV	5985	7814	MPH2
YFL028C	YFL028C	VI	79344	80213	CAF16
YML032C	YML032C	XIII	212515	213930	RAD52
YBR256C	YBR256C	II	727386	728102	RIB5
YOR081C	YOR081C	XV	476939	479188	TGL5
YLR442C	YLR442C	XII	1019315	1022251	SIR3
YPL024W	YPL024W	XVI	503517	504242	RMI1
YMR257C	YMR257C	XIII	779629	782031	PET111
YDL219W	YDL219W	IV	65242	65765	DTD1
YKL122C	YKL122C	XI	212495	212998	SRP21
YKR040C	YKR040C	XI	518063	518566	
YDL080C	YDL080C	IV	310642	312471	THI3
YGL240W	YGL240W	VII	48613	49365	DOC1
YEL001C	YEL001C	V	150301	150978	IRC22
YLR374C	YLR374C	XII	871453	871842	
YPR168W	YPR168W	XVI	878076	878549	NUT2
YDL034W	YDL034W	IV	391783	392127	
YHR109W	YHR109W	VIII	330310	332067	CTM1
YJL060W	YJL060W	X	323386	324720	BNA3
YPL061W	YPL061W	XVI	432588	434090	ALD6
YDR223W	YDR223W	IV	912099	913502	CRF1
YER174C	YER174C	V	538434	539168	GRX4
YGR104C	YGR104C	VII	697445	698368	SRB5
YLR240W	YLR240W	XII	617533	620160	VPS34
YPR062W	YPR062W	XVI	677165	677641	FCY1
YDR402C	YDR402C	IV	1272234	1273703	DIT2
YLR037C	YLR037C	XII	222685	223059	PAU23
YMR146C	YMR146C	XIII	557481	558524	TIF34
YGR241C	YGR241C	VII	974875	976581	YAP1802
YGL062W	YGL062W	VII	385196	388732	PYC1
YPR057W	YPR057W	XVI	672471	673496	BRR1
YIL012W	YIL012W	IX	333011	333352	
YDR156W	YDR156W	IV	769525	769938	RPA14
YJR113C	YJR113C	X	638232	638975	RSM7
YLR416C	YLR416C	XII	954491	954889	
YPR131C	YPR131C	XVI	793911	794498	NAT3
YLR029C	YLR029C	XII	201976	202590	RPL15A
YMR155W	YMR155W	XIII	568551	570194	
YNL180C	YNL180C	XIV	299654	300649	RHO5
YGR164W	YGR164W	VII	828625	828960	
YOL106W	YOL106W	XV	113226	113579	
YIL140W	YIL140W	IX	85366	87837	AXL2
YIL171W-A	YIL171W-A	IX	18260	18712	
YDR272W	YDR272W	IV	1009010	1009834	GLO2
YDR114C	YDR114C	IV	681924	682226	
YOR238W	YOR238W	XV	783677	784588	
YPR077C	YPR077C	XVI	697131	697502	
YKL142W	YKL142W	XI	178515	179174	MRP8
YLR139C	YLR139C	XII	421542	423473	SLS1
YNR044W	YNR044W	XIV	703699	705876	AGA1
YPR009W	YPR009W	XVI	576552	577358	SUT2
YHR032W	YHR032W	VIII	173344	175089	ERC1
YDR429C	YDR429C	IV	1324477	1325301	TIF35
YGL079W	YGL079W	VII	359444	360100	KXD1
YNR031C	YNR031C	XIV	680694	685433	SSK2
YHR084W	YHR084W	VIII	274174	276240	STE12
YOR004W	YOR004W	XV	333592	334356	UTP23
YMR086C-A	YMR086C-A	XIII	442026	442364	
YMR233W	YMR233W	XIII	739185	739865	TRI1
YMR244W	YMR244W	XIII	757250	758317	
YLL010C	YLL010C	XII	129330	130613	PSR1
YNL188W	YNL188W	XIV	286308	287609	KAR1
YKL156C-A	YKL156C-A	XI	158975	159091	
YNL104C	YNL104C	XIV	424895	426754	LEU4
YIL005W	YIL005W	IX	345692	347797	EPS1
YOR365C	YOR365C	XV	1023461	1025572	
YNR030W	YNR030W	XIV	678799	680454	ALG12
YBR265W	YBR265W	II	738582	739544	TSC10
Q0055	Q0055	Mito	13818	18830	AI2
YGL131C	YGL131C	VII	261648	265859	SNT2
YDL162C	YDL162C	IV	167359	167715	
YDR246W-A	YDR246W-A	IV	955133	955333	
YHR033W	YHR033W	VIII	175548	176819	
YNR040W	YNR040W	XIV	699690	700460	
YNR034W	YNR034W	XIV	690321	691286	SOL1
YEL076C	YEL076C	V	4464	5114	
YHL046W-A	YHL046W-A	VIII	9981	10307	
YDL071C	YDL071C	IV	330666	331040	
YOR173W	YOR173W	XV	657264	658325	DCS2
YOR337W	YOR337W	XV	954344	956623	TEA1
YGL104C	YGL104C	VII	308713	310173	VPS73
YNL181W	YNL181W	XIV	298335	299558	
YDR164C	YDR164C	IV	782041	784215	SEC1
YGR243W	YGR243W	VII	977336	977776	MPC3
YOR107W	YOR107W	XV	521353	522282	RGS2
YDR464W	YDR464W	IV	1388872	1393179	SPP41
YGR210C	YGR210C	VII	913503	914738	
YLR012C	YLR012C	XII	169982	170281	
YOR168W	YOR168W	XV	649303	651732	GLN4
YLR054C	YLR054C	XII	248717	250978	OSW2
YNL002C	YNL002C	XIV	626174	627142	RLP7
YHR193C	YHR193C	VIII	487712	488236	EGD2
YNL294C	YNL294C	XIV	78659	80260	RIM21
YOR005C	YOR005C	XV	334509	337343	DNL4
YPR147C	YPR147C	XVI	825645	826559	
YBR092C	YBR092C	II	427698	429101	PHO3
YJL028W	YJL028W	X	391311	391646	
YOR242C	YOR242C	XV	788742	789857	SSP2
YLR077W	YLR077W	XII	283872	285623	FMP25
YCR081W	YCR081W	III	254371	258654	SRB8
YOR396C-A	YOR396C-A	XV	1090015	1090497	
YLR458W	YLR458W	XII	1056455	1056835	
YBL040C	YBL040C	II	142112	142868	ERD2
YJR127C	YJR127C	X	658917	663059	RSF2
YJL176C	YJL176C	X	92053	94530	SWI3
YLR453C	YLR453C	XII	1041799	1042986	RIF2
YCR007C	YCR007C	III	126011	126730	
YHR128W	YHR128W	VIII	362115	362765	FUR1
YOR297C	YOR297C	XV	874743	875321	TIM18
YDR225W	YDR225W	IV	915530	915928	HTA1
YPR020W	YPR020W	XVI	599870	600217	ATP20
YJR003C	YJR003C	X	440994	442553	
YIL101C	YIL101C	IX	175307	177250	XBP1
YHR136C	YHR136C	VIII	374654	375100	SPL2
YPR114W	YPR114W	XVI	753301	754248	
YPL189W	YPL189W	XVI	189154	190983	GUP2
YJL056C	YJL056C	X	330431	333073	ZAP1
YPR169W-A	YPR169W-A	XVI	883239	883457	
YLR264C-A	YLR264C-A	XII	673828	673944	
YPL247C	YPL247C	XVI	82625	84196	
YDR482C	YDR482C	IV	1420431	1420838	CWC21
YJL122W	YJL122W	X	189716	190243	ALB1
YBL058W	YBL058W	II	111437	112708	SHP1
YLL039C	YLL039C	XII	64062	65207	UBI4
YKL107W	YKL107W	XI	236141	237070	
YCL017C	YCL017C	III	92777	94270	NFS1
YER085C	YER085C	V	327619	328140	
YMR186W	YMR186W	XIII	632355	634472	HSC82
YCR065W	YCR065W	III	229310	231004	HCM1
YOR388C	YOR388C	XV	1071793	1072923	FDH1
YLR002C	YLR002C	XII	154343	156334	NOC3
YFL045C	YFL045C	VI	43628	44392	SEC53
YPR091C	YPR091C	XVI	716156	718468	NVJ2
YOL083W	YOL083W	XV	165714	166952	ATG34
YLR307C-A	YLR307C-A	XII	746848	747111	
YDR366C	YDR366C	IV	1212438	1212836	
Q0065	Q0065	Mito	13818	21935	AI4
YER190C-A	YER190C-A	V	574804	575379	
YDR545C-A	YDR545C-A	IV	1530863	1531342	
YNL020C	YNL020C	XIV	595623	597539	ARK1
YGL125W	YGL125W	VII	272520	274322	MET13
YKR038C	YKR038C	XI	511999	513159	KAE1
YDL215C	YDL215C	IV	70640	73918	GDH2
YLR354C	YLR354C	XII	836350	837357	TAL1
YCR022C	YCR022C	III	157421	157765	
YFR008W	YFR008W	VI	160535	161200	FAR7
YDR284C	YDR284C	IV	1030550	1031419	DPP1
YFL013C	YFL013C	VI	107852	109930	IES1
YKL051W	YKL051W	XI	341312	342373	SFK1
YPR174C	YPR174C	XVI	888043	888708	
YMR091C	YMR091C	XIII	450058	451365	NPL6
YJL143W	YJL143W	X	147101	147577	TIM17
YDR112W	YDR112W	IV	679544	679852	IRC2
YGR057C	YGR057C	VII	604773	605501	LST7
YKL194C	YKL194C	XI	77258	78646	MST1
YLR308W	YLR308W	XII	747937	748875	CDA2
YBR065C	YBR065C	II	368584	369678	ECM2
YMR029C	YMR029C	XIII	328660	330231	FAR8
YHL042W	YHL042W	VIII	15667	16119	
YPR121W	YPR121W	XVI	778583	780301	THI22
YNL068C	YNL068C	XIV	495701	498289	FKH2
YLR156C-A	YLR156C-A	XII	472479	472610	
YGL157W	YGL157W	VII	209006	210049	ARI1
YGL178W	YGL178W	VII	167352	170571	MPT5
YMR148W	YMR148W	XIII	560366	560812	OSW5
YML058W	YML058W	XIII	159383	159697	SML1
YLR249W	YLR249W	XII	636780	639914	YEF3
YGR019W	YGR019W	VII	525229	526644	UGA1
YJL049W	YJL049W	X	345973	347325	
YBR263W	YBR263W	II	736264	737736	SHM1
YOR249C	YOR249C	XV	798674	800731	APC5
YBL097W	YBL097W	II	40831	43095	BRN1
YCR020W-B	YCR020W-B	III	155320	155556	HTL1
YPR044C	YPR044C	XVI	654524	654877	OPI11
YDR286C	YDR286C	IV	1035231	1035575	
YDR170W-A	YDR170W-A	IV	803195	804517	
YLR342W-A	YLR342W-A	XII	815810	815983	
YGR027W-A	YGR027W-A	VII	536057	537379	
YBL043W	YBL043W	II	136688	137461	ECM13
YLR018C	YLR018C	XII	178707	179606	POM34
YMR076C	YMR076C	XIII	416196	420029	PDS5
YOR251C	YOR251C	XV	802550	803464	TUM1
YAR070C	YAR070C	I	224563	224862	
YBR124W	YBR124W	II	486507	486866	
YJR135W-A	YJR135W-A	X	676971	677234	TIM8
YOR186W	YOR186W	XV	683111	683545	
YDR083W	YDR083W	IV	612073	613251	RRP8
YOR011W-A	YOR011W-A	XV	355652	355858	
YOR267C	YOR267C	XV	822588	824867	HRK1
YLR109W	YLR109W	XII	368781	369311	AHP1
YOR032C	YOR032C	XV	389771	391075	HMS1
YOR091W	YOR091W	XV	493433	494470	TMA46
YKR059W	YKR059W	XI	554987	556174	TIF1
YBR205W	YBR205W	II	633622	634836	KTR3
YLR316C	YLR316C	XII	765266	766358	TAD3
YDR406W-A	YDR406W-A	IV	1283799	1284044	
YLR292C	YLR292C	XII	719789	720370	SEC72
YCR044C	YCR044C	III	206877	207950	PER1
YLR216C	YLR216C	XII	572096	573211	CPR6
YDR046C	YDR046C	IV	548762	550576	BAP3
YGR069W	YGR069W	VII	627083	627418	
YJL092W	YJL092W	X	257423	260947	SRS2
YDR096W	YDR096W	IV	637139	639823	GIS1
YML018C	YML018C	XIII	234771	235952	
YLR445W	YLR445W	XII	1024189	1024837	GMC2
YOR138C	YOR138C	XV	584309	586324	RUP1
YOR369C	YOR369C	XV	1028194	1028625	RPS12
YGR246C	YGR246C	VII	982482	984272	BRF1
YJR145C	YJR145C	X	702027	703068	RPS4A
YJR138W	YJR138W	X	684567	689321	IML1
YHR059W	YHR059W	VIII	220108	220500	FYV4
YLR138W	YLR138W	XII	418437	421394	NHA1
YHL009W-B	YHL009W-B	VIII	85909	91318	
YDR098C-B	YDR098C-B	IV	645858	651126	
YNL156C	YNL156C	XIV	341069	341968	NSG2
YNL106C	YNL106C	XIV	420944	424495	INP52
YNL286W	YNL286W	XIV	95223	96080	CUS2
YNL093W	YNL093W	XIV	449868	450530	YPT53
YIL040W	YIL040W	IX	277723	278139	APQ12
YKL104C	YKL104C	XI	243220	245373	GFA1
YLR186W	YLR186W	XII	523632	524390	EMG1
YDR425W	YDR425W	IV	1320064	1321941	SNX41
